id,contract_type,clause_category,clause_text,risk_level,risk_reason,saudi_legal_note,recommended_revision,related_regulation,requires_escalation,language,industry,source_type,reviewed_by_lawyer,notes,verification_status
1,SaaS Agreement,Jurisdiction & Dispute Resolution,Any disputes arising under this agreement shall be submitted to the exclusive jurisdiction of the courts of England and Wales.,critical,Foreign jurisdiction clause creates a practical barrier to litigation for the Saudi party. Saudi courts may assert jurisdiction regardless of this clause.,المحاكم السعودية قد تنعقد اختصاصًا رغم وجود شرط الاختصاص الأجنبي خاصةً إذا كان محل التنفيذ داخل المملكة. شرط التحكيم في الرياض أنسب.,Replace with: disputes shall be resolved by arbitration in Riyadh under the rules of the Saudi Center for Commercial Arbitration (SCCA). Alternatively refer to the competent Saudi Commercial Court.,Saudi Commercial Courts Law (Royal Decree M/93 1441H) | Arbitration Law (Royal Decree M/34 1433H),yes,en,Technology,hypothetical,no,Standard boilerplate in foreign SaaS contracts that conflicts with Saudi legal practice,draft
2,Professional Services Agreement,Liability,The total liability of the Service Provider under this agreement shall not be limited in any way and shall include all direct indirect consequential and punitive damages without cap.,high,Unlimited liability exposure particularly for punitive damages may conflict with Saudi civil law principles and creates unsustainable commercial risk for the service provider.,نظام المعاملات المدنية السعودي يجيز تحديد المسؤولية اتفاقاً ضمن حدود معقولة. التعويض التعسفي (Punitive Damages) غير معترف به كمفهوم مستقل في الفقه السعودي والتعويض يقدر بالضرر الفعلي.,Replace with a liability cap tied to the total fees paid in the 12 months preceding the claim. Exclude punitive damages explicitly. Retain unlimited liability only for gross negligence and willful misconduct.,Saudi Civil Transactions Law (Royal Decree M/191 1443H) Arts. 173-180,yes,ar,Professional Services,hypothetical,no,Common issue when adapting Western contracts without Saudi-specific review,draft
3,Cloud Storage Agreement,Data Protection & Privacy,Client data may be stored and processed on servers located in the European Union. Service Provider may transfer Client data to any jurisdiction necessary for the provision of services.,critical,Cross-border data transfer without a legal basis violates PDPL. No mention of data subject consent or adequacy determination or SDAIA authorization. Broad transfer clause with no geographic or purpose limitation.,نظام حماية البيانات الشخصية (PDPL) يشترط مسوغاً قانونياً صريحاً لنقل البيانات الشخصية خارج المملكة. البند الحالي يفتقر لأي أساس قانوني ويعرض الشركة للمساءلة أمام سدايا.,Revise to: (1) specify lawful basis for transfer per PDPL Arts. 29-30 (2) restrict transfer to jurisdictions with adequate protection or SDAIA-approved safeguards (3) prohibit use of data beyond contracted service delivery (4) add breach notification obligation within 72 hours.,Personal Data Protection Law PDPL (Royal Decree M/19 1443H) Arts. 29-30 | SDAIA Implementing Regulations,yes,en,Technology,hypothetical,no,PDPL compliance is a recurring gap in foreign cloud and SaaS contracts operating in Saudi Arabia,draft
4,Employment Contract,Employment & Labor,تخضع العلاقة التعاقدية لفترة تجربة مدتها مئة وثمانين يومًا من تاريخ الالتحاق بالعمل يحق خلالها لأي من الطرفين إنهاء العقد دون إشعار مسبق أو تعويض.,high,فترة التجربة تتجاوز الحد الأقصى القانوني البالغ تسعين يومًا للوظائف العادية وهذا الشرط يُعدّ باطلاً نظامًا وقد يُعرّض صاحب العمل لمطالبات إضافية عند الإنهاء.,المادة 53 من نظام العمل م/51 لعام 1426هـ تحدد فترة التجربة بتسعين يومًا كحد أقصى قابلة للتمديد مرة واحدة لا تتجاوز تسعين يومًا إضافية للمهن التقنية والإدارية فقط بموافقة الطرفين. تجاوز هذا الحد يجعل الشرط الزائد باطلاً.,تعديل فترة التجربة إلى تسعين يومًا للوظائف العادية. وللمهن التقنية يجوز الاتفاق على تمديد إضافي بتسعين يومًا مع توثيق الموافقة كتابيًا على ألا يتجاوز الإجمالي مئة وثمانين يومًا.,نظام العمل السعودي م/51 لعام 1426هـ، المادة 53,yes,ar,General,hypothetical,no,,draft
5,Employment Contract,Saudization,يلتزم صاحب العمل بتوظيف الموارد البشرية المناسبة وفق متطلبات العمل دون التقيد بنسب توطين محددة.,critical,غياب التزام صريح بنظام نطاقات في قطاع التقنية المصنف ضمن القطاعات ذات النسب الإلزامية. قد يُعرّض المنشأة لعقوبات من وزارة الموارد البشرية وفقد تصنيف النطاقات الأخضر أو البلاتيني.,نظام نطاقات الصادر بموجب نظام العمل م/51 لعام 1426هـ ولوائح وزارة الموارد البشرية والتنمية الاجتماعية يُلزم المنشآت في القطاع الخاص بتحقيق نسب سعودة محددة تبعًا لحجم المنشأة والقطاع. قطاع التقنية لديه نسب سعودة إلزامية.,إضافة بند صريح يُلزم صاحب العمل بالامتثال لنظام نطاقات والحفاظ على نسبة التوطين المطلوبة للقطاع والفئة الحجمية مع تحديث النسبة عند تغيّر متطلبات الوزارة.,نظام العمل م/51 لعام 1426هـ ونظام نطاقات وزارة الموارد البشرية والتنمية الاجتماعية,yes,ar,Technology,hypothetical,no,,draft
6,Employment Contract,Employment & Labor,Employee agrees not to engage in any business activity competitive with Employer's business for a period of five years following termination of employment anywhere in the Kingdom of Saudi Arabia.,medium,Non-compete clauses of this duration and geographic scope may be unenforceable under Saudi law. Saudi courts apply a reasonableness standard; a five-year nationwide restriction is likely to be considered excessive and contrary to the employee's right to work.,المادة 83 من نظام العمل م/51 لعام 1426هـ تجيز شرط عدم المنافسة فقط إذا كان محدودًا بزمان ومكان ونشاط معقولين. المحاكم السعودية تميل إلى إبطال الشروط المفرطة التي تحرم الموظف من حق العمل لفترة مطوّلة أو على نطاق واسع.,Limit the non-compete restriction to a maximum of one year post-termination. Restrict it geographically to the city or region where the employee worked and limit it to the employee's specific role. Specify the client relationships or trade secrets being protected.,نظام العمل السعودي م/51 لعام 1426هـ، المادة 83,no,en,Professional Services,hypothetical,no,,draft
7,Employment Contract,Employment & Labor,يستحق الموظف إجازة سنوية مدفوعة الأجر مدتها أربعة عشر يومًا عن كل سنة عمل كاملة.,high,الإجازة السنوية المنصوص عليها في العقد أقل من الحد الأدنى القانوني البالغ أحدًا وعشرين يومًا للموظف الذي أمضى أقل من خمس سنوات مما يجعل هذا الشرط مخالفًا للنظام وباطلاً.,المادة 109 من نظام العمل م/51 لعام 1426هـ تُلزم بمنح العامل إجازة سنوية لا تقل عن أحد وعشرين يومًا عن كل سنة عمل كاملة وترتفع إلى ثلاثين يومًا بعد خمس سنوات. لا يجوز الاتفاق على ما هو أدنى من ذلك.,تعديل مدة الإجازة السنوية إلى أحد وعشرين يومًا كحد أدنى للسنوات الخمس الأولى وثلاثين يومًا ابتداءً من السنة الخامسة مع النص على عدم جواز التنازل عن الإجازة مقابل بدل مالي إلا بإذن كتابي مسبق.,نظام العمل السعودي م/51 لعام 1426هـ، المادة 109,yes,ar,Retail,hypothetical,no,,draft
8,Employment Contract,Employment & Labor,يتحمل صاحب العمل كامل تكاليف الرعاية الصحية والتأمين الاجتماعي للموظف وفق السياسة الداخلية للشركة.,critical,العقد لا ينص صراحةً على اشتراكات التأمينات الاجتماعية بالنسب المقررة نظامًا ويُحيل إلى سياسة داخلية قد تكون أدنى من المتطلبات النظامية مما يُعرّض المنشأة لغرامات مالية وعقوبات من المؤسسة العامة للتأمينات الاجتماعية.,نظام التأمينات الاجتماعية م/33 لعام 1421هـ يُلزم صاحب العمل بتسجيل الموظف السعودي واشتراك بنسبة لا تقل عن 9% من أجره الأساسي فضلاً عن حصة الموظف 9% ولا يجوز خفض هذه النسب أو الإعفاء منها باتفاق خاص.,إضافة بند صريح يلتزم فيه صاحب العمل بتسجيل الموظف في المؤسسة العامة للتأمينات الاجتماعية وسداد الاشتراكات بالنسب المقررة نظامًا من تاريخ الالتحاق بالعمل وإشعار الموظف بأي تغيير في بيانات التسجيل.,نظام التأمينات الاجتماعية م/33 لعام 1421هـ ولوائح المؤسسة العامة للتأمينات الاجتماعية (GOSI),yes,ar,Healthcare,hypothetical,no,,draft
9,Lease Agreement,Jurisdiction & Dispute Resolution,يتفق الطرفان على إبرام هذا العقد وتوثيقه لدى الجهة المختصة خلال مدة لا تتجاوز ستين يومًا من تاريخ التوقيع.,high,عدم النص الصريح على تسجيل العقد في منصة إيجار يُضعف قابلية إنفاذه أمام الجهات الرسمية. المحاكم السعودية تُولي الأولوية للعقود المسجلة في منصة إيجار عند النزاع وغيابه يُعرّض حقوق الطرفين للخطر.,منصة إيجار التابعة لوزارة الإسكان توفر منظومة توثيق إلكتروني لعقود الإيجار. التسجيل في إيجار شرط للحصول على الخدمات الحكومية المرتبطة بالإقامة ويُعزز حقوق الطرفين ويُتيح التقاضي الإلكتروني عند النزاع.,إضافة بند صريح يُلزم الطرفين بتسجيل العقد في منصة إيجار الإلكترونية خلال خمسة أيام عمل من تاريخ التوقيع مع تحديد الجهة المسؤولة عن التسجيل وتوزيع التكلفة إن وجدت.,منصة إيجار الإلكترونية — وزارة الإسكان المملكة العربية السعودية,yes,ar,Real Estate,hypothetical,no,,draft
10,Lease Agreement,Payment Terms,يحق لصاحب العقار تعديل قيمة الإيجار السنوي خلال مدة العقد في حال ارتفاع مستوى أسعار السوق بنسبة تزيد على خمسة بالمئة وفق تقدير صاحب العقار.,high,الشرط يمنح المؤجر صلاحية رفع الإيجار أحادية الجانب خلال سريان العقد استنادًا لتقديره الشخصي لأسعار السوق وهو ما يتعارض مع مبدأ ثبات العقد وقد يُعدّ تعسفًا في استخدام الحق.,نظام المعاملات المدنية م/191 لعام 1443هـ يُرسّخ مبدأ لزوم العقد وعدم جواز تعديله أحادي الجانب. شرط تعديل الأجرة ينبغي أن يستند إلى مؤشر موضوعي محدد وليس لتقدير طرف واحد.,ربط أي تعديل في الإيجار بمؤشر رسمي كمؤشر الرقم القياسي للأسعار الصادر عن الهيئة العامة للإحصاء مع تحديد سقف للزيادة لا يتجاوز خمسة بالمئة سنويًا وإشعار مسبق بثلاثة أشهر على الأقل.,نظام المعاملات المدنية م/191 لعام 1443هـ,yes,ar,Real Estate,hypothetical,no,,draft
